flight_no,departure_airport,arrival_airport,scheduled_departure,scheduled_arrival,aircraft
PG0405,Домодедово,Пулково,2016-09-15 05:35:00+00:00,2016-09-15 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-15 15:05:00+00:00,2016-09-15 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-15 07:25:00+00:00,2016-09-15 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-15 08:25:00+00:00,2016-09-15 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-06 08:25:00+00:00,2016-11-06 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-23 08:25:00+00:00,2016-09-23 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-13 08:25:00+00:00,2016-09-13 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-13 07:25:00+00:00,2016-09-13 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-13 15:05:00+00:00,2016-09-13 16:00:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-28 08:25:00+00:00,2016-10-28 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-28 07:25:00+00:00,2016-10-28 08:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-31 05:35:00+00:00,2016-10-31 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-31 15:05:00+00:00,2016-10-31 16:00:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-23 15:05:00+00:00,2016-09-23 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-31 07:25:00+00:00,2016-10-31 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-31 08:25:00+00:00,2016-10-31 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-28 15:05:00+00:00,2016-10-28 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-28 05:35:00+00:00,2016-10-28 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-07 08:25:00+00:00,2016-10-07 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-07 07:25:00+00:00,2016-10-07 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-07 15:05:00+00:00,2016-10-07 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-07 05:35:00+00:00,2016-10-07 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-07 05:35:00+00:00,2016-11-07 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-19 08:25:00+00:00,2016-10-19 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-12 08:25:00+00:00,2016-11-12 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-12 07:25:00+00:00,2016-11-12 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-12 15:05:00+00:00,2016-11-12 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-12 05:35:00+00:00,2016-11-12 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-11 08:25:00+00:00,2016-10-11 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-08 08:25:00+00:00,2016-10-08 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-08 07:25:00+00:00,2016-10-08 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-08 15:05:00+00:00,2016-10-08 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-08 05:35:00+00:00,2016-10-08 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-14 05:35:00+00:00,2016-09-14 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-14 15:05:00+00:00,2016-09-14 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-14 07:25:00+00:00,2016-09-14 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-14 08:25:00+00:00,2016-09-14 09:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-12 05:35:00+00:00,2016-10-12 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-12 15:05:00+00:00,2016-10-12 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-12 07:25:00+00:00,2016-10-12 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-22 08:25:00+00:00,2016-10-22 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-22 07:25:00+00:00,2016-10-22 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-12 08:25:00+00:00,2016-10-12 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-22 15:05:00+00:00,2016-10-22 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-22 05:35:00+00:00,2016-10-22 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-19 07:25:00+00:00,2016-10-19 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-08 08:25:00+00:00,2016-11-08 09:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-30 05:35:00+00:00,2016-10-30 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-30 15:05:00+00:00,2016-10-30 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-30 07:25:00+00:00,2016-10-30 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-30 08:25:00+00:00,2016-10-30 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-08 07:25:00+00:00,2016-11-08 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-09 08:25:00+00:00,2016-10-09 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-09 07:25:00+00:00,2016-10-09 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-09 15:05:00+00:00,2016-10-09 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-09 05:35:00+00:00,2016-10-09 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-11 07:25:00+00:00,2016-10-11 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-08 15:05:00+00:00,2016-11-08 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-08 05:35:00+00:00,2016-11-08 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-11 15:05:00+00:00,2016-10-11 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-11 05:35:00+00:00,2016-10-11 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-29 08:25:00+00:00,2016-10-29 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-29 07:25:00+00:00,2016-10-29 08:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-25 05:35:00+00:00,2016-10-25 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-19 15:05:00+00:00,2016-10-19 16:00:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-25 15:05:00+00:00,2016-10-25 16:00:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-29 15:05:00+00:00,2016-10-29 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-29 05:35:00+00:00,2016-10-29 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-19 05:35:00+00:00,2016-10-19 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-26 08:25:00+00:00,2016-09-26 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-26 07:25:00+00:00,2016-09-26 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-26 15:05:00+00:00,2016-09-26 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-26 05:35:00+00:00,2016-09-26 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-25 07:25:00+00:00,2016-10-25 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-25 08:25:00+00:00,2016-10-25 09:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-21 05:35:00+00:00,2016-09-21 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-21 15:05:00+00:00,2016-09-21 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-21 07:25:00+00:00,2016-09-21 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-21 08:25:00+00:00,2016-09-21 09:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-17 05:35:00+00:00,2016-10-17 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-17 15:05:00+00:00,2016-10-17 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-17 07:25:00+00:00,2016-10-17 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-17 08:25:00+00:00,2016-10-17 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-23 15:05:00+00:00,2016-10-23 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-05 05:35:00+00:00,2016-11-05 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-27 08:25:00+00:00,2016-09-27 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-27 07:25:00+00:00,2016-09-27 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-27 15:05:00+00:00,2016-09-27 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-27 05:35:00+00:00,2016-09-27 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-05 15:05:00+00:00,2016-11-05 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-05 07:25:00+00:00,2016-11-05 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-05 08:25:00+00:00,2016-11-05 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-23 07:25:00+00:00,2016-10-23 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-26 08:25:00+00:00,2016-10-26 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-26 07:25:00+00:00,2016-10-26 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-26 15:05:00+00:00,2016-10-26 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-26 05:35:00+00:00,2016-10-26 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-18 05:35:00+00:00,2016-10-18 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-20 05:35:00+00:00,2016-09-20 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-20 15:05:00+00:00,2016-09-20 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-20 07:25:00+00:00,2016-09-20 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-20 08:25:00+00:00,2016-09-20 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-18 15:05:00+00:00,2016-10-18 16:00:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-28 08:25:00+00:00,2016-09-28 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-28 07:25:00+00:00,2016-09-28 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-28 15:05:00+00:00,2016-09-28 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-28 05:35:00+00:00,2016-09-28 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-18 07:25:00+00:00,2016-10-18 08:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-16 05:35:00+00:00,2016-10-16 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-18 08:25:00+00:00,2016-10-18 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-16 15:05:00+00:00,2016-10-16 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-16 07:25:00+00:00,2016-10-16 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-16 08:25:00+00:00,2016-10-16 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-24 08:25:00+00:00,2016-09-24 09:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-04 05:35:00+00:00,2016-11-04 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-04 15:05:00+00:00,2016-11-04 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-04 07:25:00+00:00,2016-11-04 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-04 08:25:00+00:00,2016-11-04 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-09 08:25:00+00:00,2016-11-09 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-29 08:25:00+00:00,2016-09-29 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-29 07:25:00+00:00,2016-09-29 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-29 15:05:00+00:00,2016-09-29 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-29 05:35:00+00:00,2016-09-29 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-09 07:25:00+00:00,2016-11-09 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-09 15:05:00+00:00,2016-11-09 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-09 05:35:00+00:00,2016-11-09 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-24 07:25:00+00:00,2016-09-24 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-24 15:05:00+00:00,2016-09-24 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-19 05:35:00+00:00,2016-09-19 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-24 05:35:00+00:00,2016-09-24 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-19 15:05:00+00:00,2016-09-19 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-19 07:25:00+00:00,2016-09-19 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-19 08:25:00+00:00,2016-09-19 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-20 08:25:00+00:00,2016-10-20 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-20 07:25:00+00:00,2016-10-20 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-20 15:05:00+00:00,2016-10-20 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-20 05:35:00+00:00,2016-10-20 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-30 08:25:00+00:00,2016-09-30 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-30 07:25:00+00:00,2016-09-30 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-30 15:05:00+00:00,2016-09-30 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-30 05:35:00+00:00,2016-09-30 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-23 08:25:00+00:00,2016-10-23 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-07 15:05:00+00:00,2016-11-07 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-03 05:35:00+00:00,2016-11-03 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-03 15:05:00+00:00,2016-11-03 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-03 07:25:00+00:00,2016-11-03 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-03 08:25:00+00:00,2016-11-03 09:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-15 05:35:00+00:00,2016-10-15 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-15 15:05:00+00:00,2016-10-15 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-15 07:25:00+00:00,2016-10-15 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-15 08:25:00+00:00,2016-10-15 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-01 08:25:00+00:00,2016-10-01 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-01 07:25:00+00:00,2016-10-01 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-01 15:05:00+00:00,2016-10-01 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-01 05:35:00+00:00,2016-10-01 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-22 05:35:00+00:00,2016-09-22 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-18 05:35:00+00:00,2016-09-18 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-18 15:05:00+00:00,2016-09-18 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-18 07:25:00+00:00,2016-09-18 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-18 08:25:00+00:00,2016-09-18 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-22 15:05:00+00:00,2016-09-22 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-24 05:35:00+00:00,2016-10-24 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-24 15:05:00+00:00,2016-10-24 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-24 07:25:00+00:00,2016-10-24 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-24 08:25:00+00:00,2016-10-24 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-22 07:25:00+00:00,2016-09-22 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-22 08:25:00+00:00,2016-09-22 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-02 08:25:00+00:00,2016-10-02 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-02 07:25:00+00:00,2016-10-02 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-02 15:05:00+00:00,2016-10-02 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-02 05:35:00+00:00,2016-10-02 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-10 08:25:00+00:00,2016-11-10 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-10 07:25:00+00:00,2016-11-10 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-10 15:05:00+00:00,2016-11-10 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-10 05:35:00+00:00,2016-11-10 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-23 05:35:00+00:00,2016-09-23 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-27 08:25:00+00:00,2016-10-27 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-27 07:25:00+00:00,2016-10-27 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-27 15:05:00+00:00,2016-10-27 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-27 05:35:00+00:00,2016-10-27 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-07 07:25:00+00:00,2016-11-07 08:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-02 05:35:00+00:00,2016-11-02 06:30:00+00:00,Airbus A321-200
